"id";"created_at";"updated_at";"row_version";"date_time";"resolution";"temperature";"source";"estimated";"location__id"
1953504;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 12:00:00+00";"PT60M";16,71;"D";TRUE;1
1953505;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 13:00:00+00";"PT60M";17,29;"D";TRUE;1
1953506;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 14:00:00+00";"PT60M";17,06;"D";TRUE;1
1953507;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 15:00:00+00";"PT60M";16,55;"D";TRUE;1
1953508;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 16:00:00+00";"PT60M";15,98;"D";TRUE;1
1953509;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 17:00:00+00";"PT60M";15,49;"D";TRUE;1
1953510;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 18:00:00+00";"PT60M";14,94;"D";TRUE;1
1953511;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 19:00:00+00";"PT60M";14,68;"D";TRUE;1
1953512;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 20:00:00+00";"PT60M";14,4;"D";TRUE;1
1953513;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 21:00:00+00";"PT60M";14,17;"D";TRUE;1
1953514;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 22:00:00+00";"PT60M";14,05;"D";TRUE;1
1953515;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-26 23:00:00+00";"PT60M";13,97;"D";TRUE;1
1953516;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 00:00:00+00";"PT60M";13,73;"D";TRUE;1
1953517;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 01:00:00+00";"PT60M";13,24;"D";TRUE;1
1953518;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 02:00:00+00";"PT60M";12,65;"D";TRUE;1
1953519;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 03:00:00+00";"PT60M";12,03;"D";TRUE;1
1953520;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 04:00:00+00";"PT60M";11,35;"D";TRUE;1
1953521;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 05:00:00+00";"PT60M";10,76;"D";TRUE;1
1953522;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 06:00:00+00";"PT60M";10,54;"D";TRUE;1
1953523;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 07:00:00+00";"PT60M";11,17;"D";TRUE;1
1953524;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 08:00:00+00";"PT60M";12,21;"D";TRUE;1
1953525;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 09:00:00+00";"PT60M";13,56;"D";TRUE;1
1953526;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 10:00:00+00";"PT60M";15,01;"D";TRUE;1
1953527;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 11:00:00+00";"PT60M";16,76;"D";TRUE;1
1953528;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 12:00:00+00";"PT60M";18,03;"D";TRUE;1
1953529;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 13:00:00+00";"PT60M";18,63;"D";TRUE;1
1953530;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 14:00:00+00";"PT60M";18,29;"D";TRUE;1
1953531;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 15:00:00+00";"PT60M";17,5;"D";TRUE;1
1953532;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 16:00:00+00";"PT60M";16,43;"D";TRUE;1
1953533;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 17:00:00+00";"PT60M";15,39;"D";TRUE;1
1953534;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 18:00:00+00";"PT60M";14,45;"D";TRUE;1
1953535;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 19:00:00+00";"PT60M";13,9;"D";TRUE;1
1953536;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 20:00:00+00";"PT60M";13,47;"D";TRUE;1
1953537;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 21:00:00+00";"PT60M";13,09;"D";TRUE;1
1953538;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 22:00:00+00";"PT60M";12,83;"D";TRUE;1
1953539;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-27 23:00:00+00";"PT60M";12,59;"D";TRUE;1
1953540;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 00:00:00+00";"PT60M";12,18;"D";TRUE;1
1953541;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 01:00:00+00";"PT60M";11,59;"D";TRUE;1
1953542;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 02:00:00+00";"PT60M";10,96;"D";TRUE;1
1953543;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 03:00:00+00";"PT60M";10,33;"D";TRUE;1
1953544;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 04:00:00+00";"PT60M";9,82;"D";TRUE;1
1953545;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 05:00:00+00";"PT60M";9,41;"D";TRUE;1
1953546;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 06:00:00+00";"PT60M";9,32;"D";TRUE;1
1953547;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 07:00:00+00";"PT60M";10,02;"D";TRUE;1
1953548;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 08:00:00+00";"PT60M";10,94;"D";TRUE;1
1953549;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 09:00:00+00";"PT60M";12,1;"D";TRUE;1
1953550;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 10:00:00+00";"PT60M";13,23;"D";TRUE;1
1953551;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 11:00:00+00";"PT60M";14,59;"D";TRUE;1
1953552;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 12:00:00+00";"PT60M";15,53;"D";TRUE;1
1953553;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 13:00:00+00";"PT60M";16,08;"D";TRUE;1
1953554;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 14:00:00+00";"PT60M";15,83;"D";TRUE;1
1953555;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 15:00:00+00";"PT60M";15,2;"D";TRUE;1
1953556;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 16:00:00+00";"PT60M";14,17;"D";TRUE;1
1953557;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 17:00:00+00";"PT60M";13,52;"D";TRUE;1
1953558;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 18:00:00+00";"PT60M";12,77;"D";TRUE;1
1953559;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 19:00:00+00";"PT60M";12,45;"D";TRUE;1
1953560;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 20:00:00+00";"PT60M";12,27;"D";TRUE;1
1953561;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 21:00:00+00";"PT60M";12,07;"D";TRUE;1
1953562;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 22:00:00+00";"PT60M";11,83;"D";TRUE;1
1953563;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-28 23:00:00+00";"PT60M";11,54;"D";TRUE;1
1953564;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 00:00:00+00";"PT60M";11,18;"D";TRUE;1
1953565;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 01:00:00+00";"PT60M";10,83;"D";TRUE;1
1953566;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 02:00:00+00";"PT60M";10,51;"D";TRUE;1
1953567;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 03:00:00+00";"PT60M";10,14;"D";TRUE;1
1953568;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 04:00:00+00";"PT60M";9,64;"D";TRUE;1
1953569;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 05:00:00+00";"PT60M";9,14;"D";TRUE;1
1953570;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 06:00:00+00";"PT60M";8,93;"D";TRUE;1
1953571;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 07:00:00+00";"PT60M";9,56;"D";TRUE;1
1953572;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 08:00:00+00";"PT60M";10,8;"D";TRUE;1
1953573;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 09:00:00+00";"PT60M";11,96;"D";TRUE;1
1953574;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 10:00:00+00";"PT60M";13,2;"D";TRUE;1
1953575;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 11:00:00+00";"PT60M";14,1;"D";TRUE;1
1953576;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 12:00:00+00";"PT60M";14,63;"D";TRUE;1
